word,count
debts,3
decay,5
decoy,1
deeds,2
delay,7
demon,5
dense,2
depth,3
desks,3
deuce,5
devil,12
diana,1
diary,1
dimly,4
dined,3
dingo,1
dirty,11
ditch,4
ditty,1
dived,2
diver,1
dixon,1
doady,2
docks,1
doesn,3
dogth,1
dolge,1
dolls,8
doors,13
dooty,2
doubt,47
dover,2
dower,1
downs,1
downy,1
dozen,19
drama,2
drams,1
drank,10
drawl,1
drawn,14
draws,4
dread,15
dream,12
dress,31
dried,2
drier,1
drift,2
drink,14
drive,10
droll,1
drone,1
drood,6
drops,10
dross,1
drove,8
drown,2
drums,1
drunk,7
ducks,1
ducky,1
dupes,1
dusky,2
dustn,1
dusty,5
dutch,4
dwarf,17
dwelt,1
dying,10
eager,6
eagle,1
eared,1
earls,1
early,37
earth,28
eased,2
eaten,3
eaves,2
edwin,29
eight,14
eject,1
eking,1
elbow,12
elder,3
elude,1
emily,4
empty,15
ended,10
enemy,3
enjoy,5
ensue,3
enter,15
entry,3
epoch,1
equal,10
erect,2
erith,1
erred,1
error,1
esker,1
essex,1
event,6
every,137
exact,6
exert,2
extra,2
faced,8
faces,21
facts,8
faded,9
faint,13
fairy,6
faith,13
falls,5
FALSE,17
famed,1
fancy,24
farms,1
fatal,2
fated,2
fault,6
fears,5
feast,4
feats,3
feels,5
feign,2
feint,2
fence,2
ferry,1
fetch,9
fever,6
field,4
fiery,7
fifth,3
fifty,16
fight,4
filth,1
final,7
finch,1
finds,5
finer,5
fired,2
fires,7
first,182
fixed,11
fixes,1
flags,1
flame,1
flare,1
flash,2
flats,1
fleck,1
fleet,2
flesh,4
flies,3
fling,3
flite,4
flits,1
float,1
flood,1
floor,24
flour,2
fluey,1
flung,4
flush,2
flute,2
foggy,1
folds,5
folks,3
folly,7
force,11
forge,3
forks,1
forms,5
forth,42
forty,14
found,100
fours,1
fowls,4
foxey,1
frail,1
frame,5
frank,2
fraud,2
frays,1
freak,1
freed,2
fresh,23
frock,3
front,18
frost,2
frown,1
fruit,3
fully,15
fumes,1
funds,2
funny,1
gable,1
gaily,4
games,2
gaols,1
gapes,1
gates,7
gaunt,2
gauze,1
gazed,1
genie,1
ghost,15
giant,2
giddy,3
gifts,1
giles,1
gipsy,2
girls,7
given,31
gives,10
glare,8
glass,54
gleam,2
globe,2
gloom,8
glory,6
glove,1
gnats,1
goals,10
going,167
goods,2
goose,2
goroo,2
gownd,2
gowns,2
grabs,1
grace,9
graft,1
grain,5
grand,11
grant,1
grape,1
grasp,4
grass,7
grate,4
grave,28
gravy,4
great,192
greek,4
green,17
greet,1
greys,1
grief,11
grill,1
grimy,1
grind,2
groan,2
grope,1
gross,2
group,2
grove,6
growl,2
grown,14
grows,1
gruff,5
guard,9
